"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Analyzing error-prone system structure","R. W. Selby; V. R. Basili","Dept. of Inf. & Comput. Sci., California Univ., Irvine, CA, USA; NA","IEEE Transactions on Software Engineering","","1991","17","2","141","152","Using measures of data interaction called data bindings, the authors quantify ratios of coupling and strength in software systems and use the ratios to identify error-prone system structures. A 148000 source line system from a prediction environment was selected for empirical analysis. Software error data were collected from high-level system design through system testing and from field operation of the system. The authors use a set of five tools to calculate the data bindings automatically and use a clustering technique to determine a hierarchical description of each of the system's 77 subsystems. A nonparametric analysis of variance model is used to characterize subsystems and individual routines that had either many or few errors or high or low error correction effort. The empirical results support the effectiveness of the data bindings clustering approach for localizing error-prone system structure.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.67595","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=67595","","Error analysis;Software measurement;Software systems;Data analysis;Computer errors;Software testing;System testing;Error correction;Inspection;Computer science","error analysis;program diagnostics;software metrics","error-prone system structure;data interaction;data bindings;software systems;prediction environment;empirical analysis;clustering technique;nonparametric analysis of variance model","","80","","23","","","","","","IEEE","IEEE Journals & Magazines"
"Comments on ""Software process representation and analysis for framework instantiation","H. C. Jiau; Chia Hung Kao; Kuo-Feng Ssu","Dept. of Electr. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan; Dept. of Electr. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan; Dept. of Electr. Eng., Nat. Cheng Kung Univ., Tainan, Taiwan","IEEE Transactions on Software Engineering","","2004","30","10","707","","When studying [T.C. Oliveira et al. (2004)], we found an error and some ambiguous parts. In this paper, we state those errors.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2004.59","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1339280","","Redundancy","software process improvement","software process representation;framework instantiation;instantiation layer commands","","1","","1","","","","","","IEEE","IEEE Journals & Magazines"
"A transformation approach to derive efficient parallel implementations","T. Rauber; G. Runger","Inst. fur Inf., Univ. Halle-Wittenberg, Germany; NA","IEEE Transactions on Software Engineering","","2000","26","4","315","339","The construction of efficient parallel programs usually requires expert knowledge in the application area and a deep insight into the architecture of a specific parallel machine. Often, the resulting performance is not portable, i.e., a program that is efficient on one machine is not necessarily efficient on another machine with a different architecture. Transformation systems provide a more flexible solution. They start with a specification of the application problem and allow the generation of efficient programs for different parallel machines. The programmer has to give an exact specification of the algorithm expressing the inherent degree of parallelism and is released from the low-level details of the architecture. We propose such a transformation system with an emphasis on the exploitation of the data parallelism combined with a hierarchically organized structure of task parallelism. Starting with a specification of the maximum degree of task and data parallelism, the transformations generate a specification of a parallel program for a specific parallel machine. The transformations are based on a cost model and are applied in a predefined order, fixing the most important design decisions like the scheduling of independent multitask activations, data distributions, pipelining of tasks, and assignment of processors to task activations. We demonstrate the usefulness of the approach with examples from scientific computing.","0098-5589;1939-3520;2326-3881","","10.1109/32.844492","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=844492","","Parallel processing;Parallel machines;Programming profession;Microprocessors;Scientific computing;Message passing;Computer architecture;Costs;Processor scheduling;Pipeline processing","bibliographies;parallel programming;formal specification;parallel machines;message passing","transformation approach;parallel implementations;parallel program design;expert knowledge;application area;parallel machine;transformation systems;parallel machines;exact specification;data parallelism;hierarchically organized structure;task parallelism;cost model;predefined order;design decisions;independent multitask activations;data distributions;task pipelining;processor assignment;task activations;scientific computing","","18","","58","","","","","","IEEE","IEEE Journals & Magazines"
"A group-select operation for relational algebra and implications for database machine design","J. Bradley","Dept. of Comput. Sci., Calgary Univ., Alta., Canada","IEEE Transactions on Software Engineering","","1988","14","1","126","129","A group-select operation has been defined for relational algebra. This operation is found to be useful for efficiently reducing expressions of nonprocedural relational languages that permit natural quantifiers. Conceptually, the operation first partitions a relation into blocks of tuples that have the same value for an attribute or attribute concatenation. It then extracts each block for which a specified number of tuples meet a specified condition. The quantity of tuples for the operation is specified by means of a natural quantifier. Performance of the group-select operation will be poor with conventional file processing, making the operation more suitable for use with a database machine with an associative memory.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.4630","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=4630","","Algebra;Database machines;Relational databases;Remuneration;Calculus;EMP radiation effects;Associative memory;ANSI standards;Standards development;Natural languages","relational databases","relational algebra;database machine design;group-select operation;nonprocedural relational languages;natural quantifiers;tuples;associative memory","","2","","22","","","","","","IEEE","IEEE Journals & Magazines"
"On the Value of Ensemble Effort Estimation","E. Kocaguneli; T. Menzies; J. W. Keung","West Virginia University, Morgantown; West Virginia University, Morgantown; The Hong Kong Polytechnic University, Hong Kong","IEEE Transactions on Software Engineering","","2012","38","6","1403","1416","Background: Despite decades of research, there is no consensus on which software effort estimation methods produce the most accurate models. Aim: Prior work has reported that, given M estimation methods, no single method consistently outperforms all others. Perhaps rather than recommending one estimation method as best, it is wiser to generate estimates from ensembles of multiple estimation methods. Method: Nine learners were combined with 10 preprocessing options to generate 9 × 10 = 90 solo methods. These were applied to 20 datasets and evaluated using seven error measures. This identified the best n (in our case n = 13) solo methods that showed stable performance across multiple datasets and error measures. The top 2, 4, 8, and 13 solo methods were then combined to generate 12 multimethods, which were then compared to the solo methods. Results: 1) The top 10 (out of 12) multimethods significantly outperformed all 90 solo methods. 2) The error rates of the multimethods were significantly less than the solo methods. 3) The ranking of the best multimethod was remarkably stable. Conclusion: While there is no best single effort estimation method, there exist best combinations of such effort estimation methods.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2011.111","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=6081882","Software cost estimation;ensemble;machine learning;regression trees;support vector machines;neural nets;analogy;k-NN","Costs;Software performance;Measurement uncertainty;Taxonomy;Machine learning;Regression tree analysis;Support vector machines;Neural networks","software development management","ensemble effort estimation;software effort estimation;single method;multiple estimation method;error measures","","79","","82","","","","","","IEEE","IEEE Journals & Magazines"
"The effectiveness of control structure diagrams in source code comprehension activities","D. Hendrix; J. H. Cross; S. Maghsoodloo","Dept. of Comput. Sci. & Software Eng., Auburn Univ., AL, USA; Dept. of Comput. Sci. & Software Eng., Auburn Univ., AL, USA; NA","IEEE Transactions on Software Engineering","","2002","28","5","463","477","Recently, the first two in a series of planned comprehension experiments were performed to measure the effect of the control structure diagram (CSD) on program comprehensibility. Upper- and lower-division computer science and software engineering students were asked to respond to questions regarding the structure and execution of one source code module of a public domain graphics library. The time taken for each response and the correctness of each response was recorded. Statistical analysis of the data collected from these two experiments revealed that the CSD was highly significant in enhancing the subjects' performance in this program comprehension task. The results of these initial experiments promise to shed light on fundamental questions regarding the effect of software visualizations on program comprehensibility.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2002.1000450","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1000450","","Performance evaluation;Computer science;Software engineering;Computer graphics;Software libraries;Statistical analysis;Data visualization","diagrams;reverse engineering;program visualisation;program control structures","control structure diagrams;source code comprehension;experiments;program comprehensibility;computer science students;software engineering students;public domain graphics library;statistical analysis;data analysis;software visualizations","","19","","43","","","","","","IEEE","IEEE Journals & Magazines"
"Inference of message sequence charts","R. Alur; K. Etessami; M. Yannakakis","Dept. of Comput. & Inf. Sci., Pennsylvania Univ., Philadelphia, PA, USA; NA; NA","IEEE Transactions on Software Engineering","","2003","29","7","623","633","Software designers draw message sequence charts for early modeling of the individual behaviors they expect from the concurrent system under design. Can they be sure that precisely the behaviors they have described are realizable by some implementation of the components of the concurrent system? If so, can we automatically synthesize concurrent state machines realizing the given MSCs? If, on the other hand, other unspecified and possibly unwanted scenarios are ""implied"" by their MSCs, can the software designer be automatically warned and provided the implied MSCs? In this paper, we provide a framework in which all these questions are answered positively. We first describe the formal framework within which one can derive implied MSCs and then provide polynomial-time algorithms for implication, realizability, and synthesis.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.2003.1214326","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1214326","","System recovery;Software design;Polynomials;Algorithm design and analysis;Automata;Formal verification;Unified modeling language;Pattern analysis;Timing;Pattern matching","formal verification;system recovery;program testing","message sequence charts;concurrent system;software designer;polynomial-time algorithms;deadlock freedom;concurrent state machines;formal verification;requirements analysis","","69","","25","","","","","","IEEE","IEEE Journals & Magazines"
"Mechanically verifying concurrent programs with the Boyer-Moore prover","D. M. Goldschlag","Comp. Logic, Inc., Austin, TX, USA","IEEE Transactions on Software Engineering","","1990","16","9","1005","1023","A proof system suitable for the mechanical verification of concurrent programs is described. This proof system is based on Unity, and may be used to specify and verify both safety and liveness properties. However, it is defined with respect to an operational semantics of the transition system model of concurrency. Proof rules are simply theorems of this operational semantics. This methodology makes a clear distinction between the theorems in the proof system and the logical inference rules and syntax which define the underlying logic. Since this proof system essentially encodes Unity in another sound logic, and this encoding has been mechanically verified, this encoding proves the soundness of this formalization of Unity. This proof system has been mechanically verified by the Boyer-Moore prover. This proof system has been used to mechanically verify the correctness of a distributed algorithm that computes the minimum node value in a tree.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.58787","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=58787","","Logic;Concurrent computing;Encoding;Distributed algorithms;Distributed computing;Computer architecture;Safety;Formal specifications;Computer languages;Runtime","encoding;inference mechanisms;parallel programming;program verification;theorem proving","mechanically verifying concurrent programs;Boyer-Moore prover;proof system;Unity;safety;liveness;operational semantics;transition system model;concurrency;inference rules;encoding;distributed algorithm","","20","","33","","","","","","IEEE","IEEE Journals & Magazines"
"An optimal algorithm for scheduling soft aperiodic tasks in dynamic-priority preemptive systems","I. Ripoll; A. Crespo; A. Garcia-Fornes","Dept. de Ingenieria de Sistemas, Comput. y Autom., Univ. Politecnica de Valencia, Spain; NA; NA","IEEE Transactions on Software Engineering","","1997","23","6","388","400","The paper addresses the problem of jointly scheduling tasks with both hard and soft real time constraints. We present a new analysis applicable to systems scheduled using a priority preemptive dispatcher, with priorities assigned dynamically according to the EDF policy. Further, we present a new efficient online algorithm (the acceptor algorithm) for servicing aperiodic work load. The acceptor transforms a soft aperiodic task into a hard one by assigning a deadline. Once transformed, aperiodic tasks are handled in exactly the same way as periodic tasks with hard deadlines. The proposed algorithm is shown to be optimal in terms of providing the shortest aperiodic response time among fixed and dynamic priority schedulers. It always guarantees the proper execution of periodic hard tasks. The approach is composed of two parts: an offline analysis and a run time scheduler. The offline algorithm runs in pseudopolynomial time O(mn), where n is the number of hard periodic tasks and m is the hyperperiod/min deadline.","0098-5589;1939-3520;2326-3881","","10.1109/32.601081","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=601081","","Scheduling algorithm;Dynamic scheduling;Processor scheduling;Real time systems;Testing;Delay;Timing;Computer Society;Runtime","scheduling;real-time systems;minimisation;computational complexity;distributed algorithms","optimal algorithm;soft aperiodic task scheduling;dynamic priority preemptive systems;soft real time constraints;priority preemptive dispatcher;EDF policy;online algorithm;acceptor algorithm;aperiodic work load servicing;hard deadlines;aperiodic response time;dynamic priority schedulers;periodic hard tasks;offline analysis;run time scheduler;pseudopolynomial time;earliest deadline first","","25","","13","","","","","","IEEE","IEEE Journals & Magazines"
"Using Larch to specify Avalon/C++ objects","J. M. Wing","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","IEEE Transactions on Software Engineering","","1990","16","9","1076","1088","A formal specification of three base Avalon/C++ classes - recoverable, atomic, and subatomic - is given. Programmers derive from class recoverable to define persistent objects, and from either class atomic or class subatomic to define atomic objects. The specifications, written in Larch, provide the means for showing that classes derived from the base classes implement objects that are persistent or atomic and thus exemplify the applicability of an existing specification method to specifying nonfunctional properties. Writing these formal specifications for Avalon/C++'s built-in classes has helped to clarify places in the programming language where features interact, to make unstated assumptions explicit, and to characterize complex properties of objects.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.58791","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=58791","","Formal specifications;Security;Hardware;Software safety;Writing;Programming profession;Computer languages;Object oriented programming;Specification languages;Sorting","formal specification","Larch;Avalon/C++ objects;formal specification;recoverable;atomic;subatomic;nonfunctional properties;complex properties","","3","","29","","","","","","IEEE","IEEE Journals & Magazines"
"A Bayesian estimation method for the failure rate of a possibly correct program","G. Becker; L. Camarinopoulos","Inst. fuer Prozess & Anlagentechnik. Tech. Univ. of Berlin, West Germany; Inst. fuer Prozess & Anlagentechnik. Tech. Univ. of Berlin, West Germany","IEEE Transactions on Software Engineering","","1990","16","11","1307","1310","An extension of software reliability modeling is introduced to account for the possibility of programs which, after some debugging, contain no more errors. This is achieved by a repetitive application of the Bayes law, each time taking the posterior of the last step as a prior for the next one. A class of conjugate priors considerably facilitates this modeling. The resulting model includes an estimator for the probability that a program still contains errors, which is an upper bound for the failure probability.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.60318","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=60318","","Bayesian methods;Software reliability;Error correction;Debugging;Application software;Upper bound;Error probability;Artificial intelligence;Statistics","Bayes methods;probability;software reliability","prior step;Bayesian estimation method;failure rate;possibly correct program;software reliability modeling;Bayes law;posterior;last step;conjugate priors;estimator;upper bound;failure probability","","15","","5","","","","","","IEEE","IEEE Journals & Magazines"
"The call-return tree and its application to program performance analysis","S. Kundu","Department of Computer Science, Louisiana State University, Baton Rouge, LA 70803","IEEE Transactions on Software Engineering","","1986","SE-12","11","1096","1098","The notion of a call-return tree is defined to describe the dynamic calling relationship of the procedure and functions in a program execution. It is shown how the call-return tree can be used to compute the live times and the execution times of the various calls made during the execution. The call-return tree can also be used to compute other behavioral metrics such as the depth and height of a call and the number of direct and indirect calls generated from any point. The technique applies uniformly for both nonrecursive and recursive calls. The algorithms take linear time in the length of the source code and the number of calls made during an execution.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1986.6313000","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=6313000","Algorithm;live and execution times;performance;software probe","Vegetation;Software;Silicon;Software algorithms;Probes;Monitoring","program testing;trees (mathematics)","call-return tree;program performance analysis;dynamic calling relationship;program execution;behavioral metrics","","","","","","","","","","IEEE","IEEE Journals & Magazines"
