"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A transformation approach to derive efficient parallel implementations","T. Rauber; G. Runger","Inst. fur Inf., Univ. Halle-Wittenberg, Germany; NA","IEEE Transactions on Software Engineering","","2000","26","4","315","339","The construction of efficient parallel programs usually requires expert knowledge in the application area and a deep insight into the architecture of a specific parallel machine. Often, the resulting performance is not portable, i.e., a program that is efficient on one machine is not necessarily efficient on another machine with a different architecture. Transformation systems provide a more flexible solution. They start with a specification of the application problem and allow the generation of efficient programs for different parallel machines. The programmer has to give an exact specification of the algorithm expressing the inherent degree of parallelism and is released from the low-level details of the architecture. We propose such a transformation system with an emphasis on the exploitation of the data parallelism combined with a hierarchically organized structure of task parallelism. Starting with a specification of the maximum degree of task and data parallelism, the transformations generate a specification of a parallel program for a specific parallel machine. The transformations are based on a cost model and are applied in a predefined order, fixing the most important design decisions like the scheduling of independent multitask activations, data distributions, pipelining of tasks, and assignment of processors to task activations. We demonstrate the usefulness of the approach with examples from scientific computing.","0098-5589;1939-3520;2326-3881","","10.1109/32.844492","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=844492","","Parallel processing;Parallel machines;Programming profession;Microprocessors;Scientific computing;Message passing;Computer architecture;Costs;Processor scheduling;Pipeline processing","bibliographies;parallel programming;formal specification;parallel machines;message passing","transformation approach;parallel implementations;parallel program design;expert knowledge;application area;parallel machine;transformation systems;parallel machines;exact specification;data parallelism;hierarchically organized structure;task parallelism;cost model;predefined order;design decisions;independent multitask activations;data distributions;task pipelining;processor assignment;task activations;scientific computing","","18","","58","","","","","","IEEE","IEEE Journals & Magazines"
"A group-select operation for relational algebra and implications for database machine design","J. Bradley","Dept. of Comput. Sci., Calgary Univ., Alta., Canada","IEEE Transactions on Software Engineering","","1988","14","1","126","129","A group-select operation has been defined for relational algebra. This operation is found to be useful for efficiently reducing expressions of nonprocedural relational languages that permit natural quantifiers. Conceptually, the operation first partitions a relation into blocks of tuples that have the same value for an attribute or attribute concatenation. It then extracts each block for which a specified number of tuples meet a specified condition. The quantity of tuples for the operation is specified by means of a natural quantifier. Performance of the group-select operation will be poor with conventional file processing, making the operation more suitable for use with a database machine with an associative memory.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.4630","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=4630","","Algebra;Database machines;Relational databases;Remuneration;Calculus;EMP radiation effects;Associative memory;ANSI standards;Standards development;Natural languages","relational databases","relational algebra;database machine design;group-select operation;nonprocedural relational languages;natural quantifiers;tuples;associative memory","","2","","22","","","","","","IEEE","IEEE Journals & Magazines"
"Mechanically verifying concurrent programs with the Boyer-Moore prover","D. M. Goldschlag","Comp. Logic, Inc., Austin, TX, USA","IEEE Transactions on Software Engineering","","1990","16","9","1005","1023","A proof system suitable for the mechanical verification of concurrent programs is described. This proof system is based on Unity, and may be used to specify and verify both safety and liveness properties. However, it is defined with respect to an operational semantics of the transition system model of concurrency. Proof rules are simply theorems of this operational semantics. This methodology makes a clear distinction between the theorems in the proof system and the logical inference rules and syntax which define the underlying logic. Since this proof system essentially encodes Unity in another sound logic, and this encoding has been mechanically verified, this encoding proves the soundness of this formalization of Unity. This proof system has been mechanically verified by the Boyer-Moore prover. This proof system has been used to mechanically verify the correctness of a distributed algorithm that computes the minimum node value in a tree.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.58787","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=58787","","Logic;Concurrent computing;Encoding;Distributed algorithms;Distributed computing;Computer architecture;Safety;Formal specifications;Computer languages;Runtime","encoding;inference mechanisms;parallel programming;program verification;theorem proving","mechanically verifying concurrent programs;Boyer-Moore prover;proof system;Unity;safety;liveness;operational semantics;transition system model;concurrency;inference rules;encoding;distributed algorithm","","20","","33","","","","","","IEEE","IEEE Journals & Magazines"
"An optimal algorithm for scheduling soft aperiodic tasks in dynamic-priority preemptive systems","I. Ripoll; A. Crespo; A. Garcia-Fornes","Dept. de Ingenieria de Sistemas, Comput. y Autom., Univ. Politecnica de Valencia, Spain; NA; NA","IEEE Transactions on Software Engineering","","1997","23","6","388","400","The paper addresses the problem of jointly scheduling tasks with both hard and soft real time constraints. We present a new analysis applicable to systems scheduled using a priority preemptive dispatcher, with priorities assigned dynamically according to the EDF policy. Further, we present a new efficient online algorithm (the acceptor algorithm) for servicing aperiodic work load. The acceptor transforms a soft aperiodic task into a hard one by assigning a deadline. Once transformed, aperiodic tasks are handled in exactly the same way as periodic tasks with hard deadlines. The proposed algorithm is shown to be optimal in terms of providing the shortest aperiodic response time among fixed and dynamic priority schedulers. It always guarantees the proper execution of periodic hard tasks. The approach is composed of two parts: an offline analysis and a run time scheduler. The offline algorithm runs in pseudopolynomial time O(mn), where n is the number of hard periodic tasks and m is the hyperperiod/min deadline.","0098-5589;1939-3520;2326-3881","","10.1109/32.601081","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=601081","","Scheduling algorithm;Dynamic scheduling;Processor scheduling;Real time systems;Testing;Delay;Timing;Computer Society;Runtime","scheduling;real-time systems;minimisation;computational complexity;distributed algorithms","optimal algorithm;soft aperiodic task scheduling;dynamic priority preemptive systems;soft real time constraints;priority preemptive dispatcher;EDF policy;online algorithm;acceptor algorithm;aperiodic work load servicing;hard deadlines;aperiodic response time;dynamic priority schedulers;periodic hard tasks;offline analysis;run time scheduler;pseudopolynomial time;earliest deadline first","","25","","13","","","","","","IEEE","IEEE Journals & Magazines"
"Using Larch to specify Avalon/C++ objects","J. M. Wing","Sch. of Comput. Sci., Carnegie Mellon Univ., Pittsburgh, PA, USA","IEEE Transactions on Software Engineering","","1990","16","9","1076","1088","A formal specification of three base Avalon/C++ classes - recoverable, atomic, and subatomic - is given. Programmers derive from class recoverable to define persistent objects, and from either class atomic or class subatomic to define atomic objects. The specifications, written in Larch, provide the means for showing that classes derived from the base classes implement objects that are persistent or atomic and thus exemplify the applicability of an existing specification method to specifying nonfunctional properties. Writing these formal specifications for Avalon/C++'s built-in classes has helped to clarify places in the programming language where features interact, to make unstated assumptions explicit, and to characterize complex properties of objects.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.58791","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=58791","","Formal specifications;Security;Hardware;Software safety;Writing;Programming profession;Computer languages;Object oriented programming;Specification languages;Sorting","formal specification","Larch;Avalon/C++ objects;formal specification;recoverable;atomic;subatomic;nonfunctional properties;complex properties","","3","","29","","","","","","IEEE","IEEE Journals & Magazines"
"A Bayesian estimation method for the failure rate of a possibly correct program","G. Becker; L. Camarinopoulos","Inst. fuer Prozess & Anlagentechnik. Tech. Univ. of Berlin, West Germany; Inst. fuer Prozess & Anlagentechnik. Tech. Univ. of Berlin, West Germany","IEEE Transactions on Software Engineering","","1990","16","11","1307","1310","An extension of software reliability modeling is introduced to account for the possibility of programs which, after some debugging, contain no more errors. This is achieved by a repetitive application of the Bayes law, each time taking the posterior of the last step as a prior for the next one. A class of conjugate priors considerably facilitates this modeling. The resulting model includes an estimator for the probability that a program still contains errors, which is an upper bound for the failure probability.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.60318","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=60318","","Bayesian methods;Software reliability;Error correction;Debugging;Application software;Upper bound;Error probability;Artificial intelligence;Statistics","Bayes methods;probability;software reliability","prior step;Bayesian estimation method;failure rate;possibly correct program;software reliability modeling;Bayes law;posterior;last step;conjugate priors;estimator;upper bound;failure probability","","15","","5","","","","","","IEEE","IEEE Journals & Magazines"
"Algorithms to Distribute a Database for Parallel Searching","B. Srinivasan; R. Sankar","Computer Centre, Indian Institute of Technology; NA","IEEE Transactions on Software Engineering","","1981","SE-7","1","112","112","Algorithm of Ghosh [1] for distribution of segments over computer network for parallel searchability of multiple segments required by queries have been modified to reduce average running time.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1981.234513","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1702807","Computer network;multiple segment queries;parallel search;redundancy","Computer networks;Biographies;Distributed databases;Tin;Testing","","Computer network;multiple segment queries;parallel search;redundancy","","4","","1","","","","","","IEEE","IEEE Journals & Magazines"
"The call-return tree and its application to program performance analysis","S. Kundu","Department of Computer Science, Louisiana State University, Baton Rouge, LA 70803","IEEE Transactions on Software Engineering","","1986","SE-12","11","1096","1098","The notion of a call-return tree is defined to describe the dynamic calling relationship of the procedure and functions in a program execution. It is shown how the call-return tree can be used to compute the live times and the execution times of the various calls made during the execution. The call-return tree can also be used to compute other behavioral metrics such as the depth and height of a call and the number of direct and indirect calls generated from any point. The technique applies uniformly for both nonrecursive and recursive calls. The algorithms take linear time in the length of the source code and the number of calls made during an execution.","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1986.6313000","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=6313000","Algorithm;live and execution times;performance;software probe","Vegetation;Software;Silicon;Software algorithms;Probes;Monitoring","program testing;trees (mathematics)","call-return tree;program performance analysis;dynamic calling relationship;program execution;behavioral metrics","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Software Metrics: Guest Editor's Introduction","B. Curtis","NA","IEEE Transactions on Software Engineering","","1983","SE-9","6","637","638","","0098-5589;1939-3520;2326-3881","","10.1109/TSE.1983.235270","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=1703109","","Software metrics;Software measurement;Measurement techniques;Statistical analysis;Testing;Measurement errors;Failure analysis;Laboratories;Software performance;Performance analysis","","","","3","","","","","","","","IEEE","IEEE Journals & Magazines"
"Software reuse by specialization of generic procedures through views","G. S. Novak","Dept. of Comput. Sci., Texas Univ., Austin, TX, USA","IEEE Transactions on Software Engineering","","1997","23","7","401","417","A generic procedure can be specialized, by compilation through views, to operate directly on concrete data. A view is a computational mapping that describes how a concrete type implements an abstract type. Clusters of related views are needed for specialization of generic procedures that involve several types or several views of a single type. A user interface that reasons about relationships between concrete types and abstract types allows view clusters to be created easily. These techniques allow rapid specialization of generic procedures for applications.","0098-5589;1939-3520;2326-3881","","10.1109/32.605759","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=605759","","Concrete;Software algorithms;Clustering algorithms;Programming profession;Object oriented programming;User interfaces;Application software;Costs;Production;Libraries","software reusability;abstract data types;partial evaluation (compilers);program compilers;user interfaces","software reuse;generic procedure specialization;views;computational mapping;concrete type;abstract data type;user interface;view clusters;partial evaluation;direct manipulation editor","","20","","77","","","","","","IEEE","IEEE Journals & Magazines"
"Design recovery for distributed systems","L. J. Holtzblatt; R. L. Piazza; H. B. Reubenstein; S. N. Roberts; D. R. Harris","Reasoning Inc., Mountain View, CA, USA; NA; NA; NA; NA","IEEE Transactions on Software Engineering","","1997","23","7","461","472","Two factors limit the utility of reverse engineering technology for many distributed software systems. First, with the exception of tools that support Ada and its explicit tasking constructs, reverse engineering tools fail to capture information concerning the flow of information between tasks. Second, relatively few reverse engineering tools are available for programming languages in which many older legacy applications were written (e.g., Jovial, CMS-2, and various assembly languages). We describe approaches that were developed for overcoming these limitations. In particular, we have implemented an approach for automatically extracting task flow information from a command and control system written in CMS-2. Our approach takes advantage of a small amount of externally provided design knowledge in order to recover design information relevant to the distributed nature of the target system.","0098-5589;1939-3520;2326-3881","","10.1109/32.605763","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=605763","","Software maintenance;Reverse engineering;Software systems;Data mining;Navigation;Productivity;Displays;Software tools;Computer languages;Application software","distributed processing;reverse engineering;software tools;Ada;command and control systems","design recovery;distributed systems;reverse engineering;tools;Ada;tasking constructs;information flow;programming languages;legacy applications;Jovial;CMS-2;assembly languages;command and control system;program understanding","","20","","32","","","","","","IEEE","IEEE Journals & Magazines"
"Comments on ""Formal specification of user interfaces: a comparison and evaluation of four axiomatic approaches"" by U.H. Chi","H. Alexander","STC Technol. Ltd., Newcastle-under-Lyme, UK","IEEE Transactions on Software Engineering","","1988","14","4","438","439","A recent paper (see ibid., vol.11, no.8, p.671-88, Aug. 1985) compared several axiomatic methods of formal specification, one of which was Z. As a result of a comparison made with Z and a similar, but executable, specification language called Me too, it was pointed out that one of the Z specifications given was not correct. In this response, the erroneous function is described and some conclusions are drawn about the process of formal specification.<<ETX>>","0098-5589;1939-3520;2326-3881","","10.1109/32.4665","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=4665","","Formal specifications;User interfaces;Displays;Prototypes;Mathematical model","software engineering;specification languages;user interfaces","software engineering;user interfaces;formal specification;specification language;Me too","","","","1","","","","","","IEEE","IEEE Journals & Magazines"
"Diagnosing rediscovered software problems using symptoms","I. Lee; R. K. Iyer","Dept. of Electr. Eng., Hanyang Univ., Seoul, South Korea; NA","IEEE Transactions on Software Engineering","","2000","26","2","113","127","This paper presents an approach to automatically diagnosing rediscovered software failures using symptoms, in environments in which many users run the same procedural software system. The approach is based on the observation that the great majority of field software failures are rediscoveries of previously reported problems and that failures caused by the same defect often share common symptoms. Based on actual data, the paper develops a small software failure fingerprint, which consists of the procedure call trace, problem detection location, and the identification of the executing software. The paper demonstrates that over 60 percent of rediscoveries can be automatically diagnosed based on fingerprints; less than 10 percent of defects are misdiagnosed. The paper also discusses a pilot that implements the approach. Using the approach not only saves service resources by eliminating repeated data collection for and diagnosis of reoccurring problems, but it can also improve service response time for rediscoveries.","0098-5589;1939-3520;2326-3881","","10.1109/32.841113","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=841113","","Software systems;Fingerprint recognition;Databases;Computer Society;Delay;Software measurement;Operating systems;Computer crashes;Software testing;Costs","program diagnostics","symptoms;automatic rediscovered software failure diagnosis;procedural software system;software failure fingerprint;procedure call trace;problem detection location;executing software identification;service response time","","11","","20","","","","","","IEEE","IEEE Journals & Magazines"
"A formal security model for microprocessor hardware","V. Lotz; V. Kessler; G. H. Walter","Corp. Technol., Siemens AG, Munich, Germany; NA; NA","IEEE Transactions on Software Engineering","","2000","26","8","702","712","The paper introduces a formal security model for a microprocessor hardware system. The model has been developed as part of the evaluation process of the processor product according to ITSEC assurance level E4. Novel aspects of the model are the need for defining integrity and confidentiality objectives on the hardware level without the operating system or application specification and security policy being given, and the utilization of an abstract function and data space. The security model consists of a system model given as a state transition automaton on infinite structures and the formalization of security objectives by means of properties of automaton behaviors. Validity of the security properties is proved. The paper compares the model with published ones and summarizes the lessons learned throughout the modeling process.","0098-5589;1939-3520;2326-3881","","10.1109/32.879809","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=879809","","Microprocessors;Hardware;Operating systems;Data security;Application software;Learning automata;Quality assurance;Formal specifications;Context modeling;Access control","microcomputers;security of data;data integrity;automata theory;theorem proving;formal verification;quality management","microprocessor hardware;formal security model;evaluation process;processor product;ITSEC assurance level;E4;integrity;confidentiality objectives;hardware level;operating system;application specification;security policy;abstract function;data space;system model;state transition automaton;infinite structures;security objectives;automaton behaviors;security properties;modeling process;validity proving","","2","","","","","","","","IEEE","IEEE Journals & Magazines"
"Using patterns to design rules in workflows","F. Casati; S. Castano; M. Fugini; I. Mirbel; B. Pernici","Dipt. di Elettronica e Inf., Politecnico di Milano, Italy; NA; NA; NA; NA","IEEE Transactions on Software Engineering","","2000","26","8","760","785","In order to design workflows in changing and dynamic environments, a flexible, correct, and rapid realization of models of the activity flow is required. In particular, techniques are needed to design workflows capable of adapting themselves effectively when exceptional situations occur during process execution. The authors present an approach to flexible workflow design based on rules and patterns developed in the framework of the WIDE project. Rules allow a high degree of flexibility during workflow design by modeling exceptional aspects of the workflow separately from the main activity flow. Patterns model frequently occurring exceptional situations in a generalized way by providing the designer with skeletons of rules and suggestions about their instantiation, together with indications on relationships with other rules, with the activity flow, and with related information. Pattern based design relies on a pattern catalog containing patterns to be reused and on a formal basis for specializing and instantiating available patterns.","0098-5589;1939-3520;2326-3881","","10.1109/32.879813","","https://ieeexplore-ieee-org.ezproxy.gsu.edu/stamp/stamp.jsp?arnumber=879813","","Computer Society;Proposals;Skeleton;Process control;Control systems;Business communication","bibliographies;workflow management software;object-oriented programming;software reusability;knowledge based systems","rule design;dynamic environments;activity flow;exceptional situations;process execution;flexible workflow design;WIDE project;exceptional aspects;main activity flow;frequently occurring exceptional situations;rule instantiation;pattern based design;pattern catalog;pattern reuse;formal basis","","34","","57","","","","","","IEEE","IEEE Journals & Magazines"
