"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2481675","Detmar  Straub and Manlio  Del Giudice","","","","Editor's Comments","III--A1","","","","","MIS Q.","December 2012","36","4","","December","2012","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017615","William R. King","","","","Editor's Comment","iii--iii","","","","","MIS Q.","June 1983","7","2","","June","1983","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017645","William R. King","","","","Editor's Comment","iv--iv","","","","","MIS Q.","June 1984","8","2","","June","1984","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017115","Blake  Ives and Robert  Rubin","","","","Editor's Comments","li--liv","","","","","MIS Q.","Decenber 1993","17","4","","December","1993","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","306678","","Robert  Zmud","","","","","","","","","MIS Q.","Dec. 1998","22","4","","December","1998","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","292705","","Robert  Zmud","","","","","","","","","MIS Q.","June 1998","22","2","","June","1998","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2638645","","Suzanne  Rivard","","","","","","","","","MIS Q.","June 2014","38","2","","June","2014","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","3177715","","Arun  Rai","","","","","","","","","MIS Q.","December 2017","41","4","","December","2017","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017328","M. Lynne Markus and Carol  Saunders","","","","Editor's Comments","iii--vi","","","","","MIS Q.","March 2007","31","1","","March","2007","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017528","Gary W. Dickson","","","","Editorial Preview","ii--ii","","","","","MIS Q.","March 1980","4","1","","March","1980","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017228","Ron  Weber","","","","Editor's Comments","iii--xiii","","","","","MIS Q.","September 2004","28","3","","September","2004","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017102","Blake  Ives","","","","Editor's Comments","xxxvii--xxxix","","","","","MIS Q.","September 1993","17","3","","September","1993","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2481674","","","","","","","","","","","MIS Q.","December 2012","36","4","","December","2012","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017101","","","","","","","","","","","MIS Q.","September 1993","17","3","","September","1993","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017114","","","","","","","","","","","MIS Q.","Decenber 1993","17","4","","December","1993","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017227","","","","","","","","","","","MIS Q.","September 2004","28","3","","September","2004","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017174","","","","","","","","","","","MIS Q.","December 2002","26","4","","December","2002","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","70958","","J. C. Emery","","","","","","","","","MIS Q.","March 1989","13","1","","March","1989","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017274","","","","","","","","","","","MIS Q.","December 2005","29","4","","December","2005","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017644","","","","","","","","","","","MIS Q.","June 1984","8","2","","June","1984","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017327","","","","","","","","","","","MIS Q.","March 2007","31","1","","March","2007","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017527","","","","","","","","","","","MIS Q.","March 1980","4","1","","March","1980","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025474","","","","","","","","","","","MIS Q.","March 1979","3","1","","March","1979","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025487","","","","","","","","","","","MIS Q.","September 1979","3","3","","September","1979","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017614","","","","","","","","","","","MIS Q.","June 1983","7","2","","June","1983","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017561","","","","","","","","","","","MIS Q.","September 1981","5","3","","September","1981","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","347447","","Allen  Lee","","","","","","","","","MIS Q.","March 2000","24","1","","March","2000","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017661","William R. King","","","","Editor's Comment","vi--vii","","","","","MIS Q.","December 1984","8","4","","December","1984","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","272094","","Robert  Zmud","","","","","","","","","MIS Q.","Sept. 1997","21","3","","September","1997","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","252704","","Robert  Zmud","","","","","","","","","MIS Q.","Dec. 1996","20","4","","December","1996","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2481691","Paulo B. Goes","","","","Editor's Comments","III--VIII","","","","","MIS Q.","March 2013","37","1","","March","2013","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017061","James C. Emery","","","","Editor's Comments","xi--xii","","","","","MIS Q.","September 1989","13","3","","September","1989","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025444","Izak  Benbasat and Benn  Konsynski","","","","Introduction","588--590","","3","","","MIS Q.","December 1988","12","4","","December","1988","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017542","Gary W. Dickson","","","","Editorial Preview","iii--iii","","","","","MIS Q.","December 1980","4","4","","December","1980","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","12894","","Warren F Mcfarlan","","","","","","","","","MIS Q.","Dec. 1986","10","4","","December","1986","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025412","Gary W. Dickson","","","","Editorial Preview","ii--ii","","","","","MIS Q.","September 1977","1","3","","September","1977","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025468","Gary W. Dickson","","","","Editorial Preview","ii--ii","","","","","MIS Q.","December 1978","2","4","","December","1978","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017155","","","","","","","","","","","MIS Q.","March 2002","26","1","","March","2002","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017585","","","","","","","","","","","MIS Q.","June 1982","6","2","","June","1982","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2208955","","","","","","","","","","","MIS Q.","March 2012","36","1","","March","2012","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2481655","","","","","","","","","","","MIS Q.","September 2012","36","3","","September","2012","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017668","","","","","","","","","","","MIS Q.","March 1985","9","1","","March","1985","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017685","","","","","","","","","","","MIS Q.","September 1985","9","3","","September","1985","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017138","","","","","","","","","","","MIS Q.","June 2001","25","2","","June","2001","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017212","","","","","","","","","","","MIS Q.","March 2004","28","1","","March","2004","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","35194","","F. Warren McFarlan","","","","","","","","","MIS Q.","Sept. 1987","11","3","","September","1987","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","40617","","F. Warren McFarlan","","","","","","","","","MIS Q.","Dec. 1987","11","4","","December","1987","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","119641","","Blake  Ives and Michael  Ginzberg","","","","","","","","","MIS Q.","June 1992","16","2","","June","1992","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","325862","","Allen  Lee","","","","","","","","","MIS Q.","June 1999","23","2","","June","1999","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","240945","","Robert  Zmud","","","","","","","","","MIS Q.","June 1996","20","2","","June","1996","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","298762","","Robert  Zmud","","","","","","","","","MIS Q.","Sept. 1998","22","3","","September","1998","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","233832","","Robert  Zmud","","","","","","","","","MIS Q.","March 1996","20","1","","March","1996","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","3177698","","Arun  Rai","","","","","","","","","MIS Q.","September 2017","41","3","","September","2017","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2871325","","Paulo B. Goes","","","","","","","","","MIS Q.","September 2015","39","3","","September","2015","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2871338","","Maytal  Saar-Tsechansky","","","","","","","","","MIS Q.","December 2015","39","4","","December","2015","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017508","David  Gefen and Edward E. Rigdon and Detmar  Straub","","","","Editor's Comments","iii--xiv","","","","","MIS Q.","June 2011","35","2","","June","2011","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017613","zzzz  zzzz","","","","Author Comment","79--81","","3","","","MIS Q.","December 1982","6","4","","December","1982","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025500","","","","","","","","","","","MIS Q.","June 1987","11","2","","June","1987","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","110110","","James C. Emery","","","","","","","","","MIS Q.","March 1991","15","1","","March","1991","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025426","","","","","","","","","","","MIS Q.","March 1987","11","1","","March","1987","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017356","","","","","","","","","","","MIS Q.","December 2007","31","4","","December","2007","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017556","","","","","","","","","","","MIS Q.","June 1981","5","2","","June","1981","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017569","","","","","","","","","","","MIS Q.","December 1981","5","4","","December","1981","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","343616","","Allen  Lee","","","","","","","","","MIS Q.","Dec. 1999","23","4","","December","1999","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017630","William R. King","","","","Editor's Comment","iii--iii","","","","","MIS Q.","December 1983","7","4","","December","1983","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017669","William R. King","","","","Editor's Comment","iii--iii","","","","","MIS Q.","March 1985","9","1","","March","1985","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","260880","","Robert  Zmud","","","","","","","","","MIS Q.","June 1997","21","2","","June","1997","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017686","William R. King","","","","Editor's Comment","xi--xii","","","","","MIS Q.","September 1985","9","3","","September","1985","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","59189","","F. Warren McFarlan and Izak  Benbasat","","","","","","","","","MIS Q.","Sept. 1988","12","3","","September","1988","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2871299","","Paulo B. Goes","","","","","","","","","MIS Q.","March 2015","39","1","","March","2015","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2685139","","Paulo B. Goes","","","","","","","","","MIS Q.","September 2014","38","3","","September","2014","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017586","Gary W. Dickson","","","","Editorial Preview","ii--ii","","","","","MIS Q.","June 1982","6","2","","June","1982","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2871313","","Jae Kyu Lee","","","","","","","","","MIS Q.","June 2015","39","2","","June","2015","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017600","","","","","","","","","","","MIS Q.","March 1983","7","1","","March","1983","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017660","","","","","","","","","","","MIS Q.","December 1984","8","4","","December","1984","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017060","","","","","","","","","","","MIS Q.","September 1989","13","3","","September","1989","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017109","","","","","","","","","","","MIS Q.","June 1993","17","2","","June","1993","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017399","","","","","","","","","","","MIS Q.","December 2008","32","4","","December","2008","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017130","","","","","","","","","","","MIS Q.","March 2001","25","1","","March","2001","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017160","","","","","","","","","","","MIS Q.","June 2002","26","2","","June","2002","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2481639","","","","","","","","","","","MIS Q.","June 2012","36","2","","June","2012","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2481690","","","","","","","","","","","MIS Q.","March 2013","37","1","","March","2013","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2481626","","","","","","","","","","","MIS Q.","September 2009","33","3","","September","2009","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2025460","Gary W. Dickson","","","","Editorial Preview","ii--ii","","","","","MIS Q.","September 1978","2","3","","September","1978","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","197853","","Blake  Ives and Gerardine  DeSanctis","","","","","","","","","MIS Q.","Sept. 1994","18","3","","September","1994","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017607","Gary W. Dickson","","","","Editorial Preview","iii--iii","","","","","MIS Q.","December 1982","6","4","","December","1982","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025411","","","","","","","","","","","MIS Q.","September 1977","1","3","","September","1977","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017197","","","","","","","","","","","MIS Q.","September 2003","27","3","","September","2003","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","113768","","James C. Emery","","","","","","","","","MIS Q.","Dec. 1990","14","4","","December","1990","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025467","","","","","","","","","","","MIS Q.","December 1978","2","4","","December","1978","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025511","","","","","","","","","","","MIS Q.","Special Issue/August 2006","30","1","","August","2006","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017507","","","","","","","","","","","MIS Q.","June 2011","35","2","","June","2011","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017541","","","","","","","","","","","MIS Q.","December 1980","4","4","","December","1980","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017284","","","","","","","","","","","MIS Q.","March 2006","30","1","","March","2006","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017307","","","","","","","","","","","MIS Q.","June 2006","30","2","","June","2006","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017424","","","","","","","","","","","MIS Q.","June 2009","33","2","","June","2009","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017167","","","","","","","","","","","MIS Q.","September 2002","26","3","","September","2002","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017254","","","","","","","","","","","MIS Q.","June 2005","29","2","","June","2005","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","110098","","James C. Emery","","","","","","","","","MIS Q.","June 1991","15","2","","June","1991","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017637","William R. King","","","","Editor's Comment","iii--iii","","","","","MIS Q.","March 1984","8","1","","March","1984","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","290231","","Robert  Zmud","","","","","","","","","MIS Q.","March 1998","22","1","","March","1998","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017471","Detmar  Straub","","","","Editor's Comments","iii--viii","","","","","MIS Q.","September 2010","34","3","","September","2010","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017337","Carol  Saunders and Izak  Benbasat","","","","Editor's Comments","iii--xviii","","","","","MIS Q.","September 2007","31","3","","September","2007","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017367","Detmar W. Straub","","","","Editor's Comments","v--x","","","","","MIS Q.","June 2008","32","2","","June","2008","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017654","William R. King","","","","Editor's Comment","iv--v","","","","","MIS Q.","September 1984","8","3","","September","1984","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"article","2017694","William R. King","","","","Editor's Comment","xiii--xiii","","","","","MIS Q.","December 1985","9","4","","December","1985","0276-7783","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","203584","","Robert  Zmud","","","","","","","","","MIS Q.","March 1995","19","1","","March","1995","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","333711","","Allen  Lee","","","","","","","","","MIS Q.","Sept. 1999","23","3","","September","1999","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","161028","","Blake  Ives and Michael  Ginzberg","","","","","","","","","MIS Q.","Sept. 1992","16","3","","September","1992","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","159362","","Blake  Ives and Michael  Ginzberg","","","","","","","","","MIS Q.","Dec. 1992","16","4","","December","1992","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2600464","","Paulo B. Goes","","","","","","","","","MIS Q.","September 2013","37","3","","September","2013","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","3177634","","Arun  Rai","","","","","","","","","MIS Q.","September 2016","40","3","","September","2016","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","3177617","","Arun  Rai","","","","","","","","","MIS Q.","June 2016","40","2","","June","2016","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","3177604","","Arun  Rai","","","","","","","","","MIS Q.","March 2016","40","1","","March","2016","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017204","","","","","","","","","","","MIS Q.","December 2003","27","4","","December","2003","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017264","","","","","","","","","","","MIS Q.","September 2005","29","3","","September","2005","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017447","","","","","","","","","","","MIS Q.","March 2010","34","1","","March","2010","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2025521","","","","","","","","","","","MIS Q.","Special Issue/December 1982","6","4","","December","1982","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017317","","","","","","","","","","","MIS Q.","December 2006","30","4","","December","2006","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017577","","","","","","","","","","","MIS Q.","March 1982","6","1","","March","1982","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017434","","","","","","","","","","","MIS Q.","December 2009","33","4","","December","2009","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017181","","","","","","","","","","","MIS Q.","March 2003","27","1","","March","2003","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
"issue","2017534","","","","","","","","","","","MIS Q.","September 1980","4","3","","September","1980","","","","","","","Society for Information Management and The Management Information Systems Research Center","Minneapolis, MN, USA"
